,Cattle Prices,,,,,,,Hog prices,,Sheep & lamb prices,,,
,TX/OK Steers,"NE Steers,",   Steers:  Med. #1,   Steers:  Med. #1,   Steers:  Med. #1,   Heifers:  Med. #1,   Heifers:  Med. #1,  Barrows and gilts,  Sows,"San Angelo, TX","St. Joseph, MO","San Angelo, TX","San Angelo, TX"
NOTE: Zeros indicate missing data or no quotes.,35-65 percent Choice,65-80 percent Choice,     500-550 lb,     600-650 lb,     750-800 lb,     450-500 lb,     700-750 lb,    National base 51-52% lean (live equivalent = carcass x .74),,"     Slaughter lambs, Choice",,"     Ewes, Good","     Feeder lambs, Choice"
Period,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,,$/cwt,$/cwt
Mar-07,96.60,96.39,128.63,118.07,103.91,116.04,96.83,45.47,36.53,84.50,96.52,47.69,101.75
Apr-07,97.63,98.04,128.40,123.63,107.91,115.52,100.83,48.43,31.39,85.25,93.69,47.63,108.33
May-07,96.67,95.50,126.40,119.27,109.54,117.12,102.34,54.40,39.89,84.20,98.20,39.30,107.60
Jun-07,90.04,86.81,125.87,114.65,109.15,113.95,102.30,54.82,41.50,77.40,103.15,36.92,106.21
Jul-07,90.41,89.09,130.40,120.99,114.00,118.28,108.92,52.39,41.13,86.38,104.83,42.63,99.44
Aug-07,92.35,91.49,126.17,122.67,115.88,119.19,111.36,52.01,40.65,86.19,111.39,39.25,101.00
Sep-07,94.79,93.49,127.24,119.32,117.04,121.88,109.74,46.61,41.48,89.44,104.45,36.50,103.38
Oct-07,92.87,91.69,120.67,113.24,111.26,108.30,106.00,41.96,30.89,84.90,99.16,34.10,100.05
Nov-07,93.66,93.37,120.09,110.47,109.94,110.64,100.71,36.95,28.32,84.83,93.54,39.00,100.13
Dec-07,93.01,90.50,120.67,109.70,105.43,114.17,98.99,39.40,24.16,92.92,94.71,41.75,106.50
Jan-08,92.45,88.63,119.36,105.21,97.45,109.41,93.78,36.77,21.60,86.63,94.86,41.69,105.63
Feb-08,91.83,90.85,122.86,113.16,102.89,110.53,97.05,42.74,25.89,88.82,97.33,37.75,119.88
Mar-08,89.40,89.28,123.04,112.15,99.29,109.73,93.02,39.40,25.33,83.25,97.68,37.69,114.56
Apr-08,88.90,89.04,120.81,110.90,102.29,107.59,95.18,45.06,18.92,74.70,99.40,40.30,110.45
May-08,94.13,93.86,125.81,114.39,107.76,111.37,101.76,57.75,29.20,77.75,107.67,38.25,117.56
Jun-08,96.14,95.55,119.95,113.55,109.74,106.20,102.48,54.71,29.67,86.75,114.30,35.56,109.56
Jul-08,98.58,98.83,120.58,112.47,110.85,104.42,105.55,56.48,22.70,88.81,114.06,38.19,98.38
Aug-08,99.07,99.14,120.88,114.07,112.78,107.84,108.68,62.56,42.91,88.13,107.93,38.50,98.75
Sep-08,98.94,97.37,119.10,110.05,108.79,107.25,102.60,52.76,52.40,89.54,102.79,33.32,99.75
Oct-08,91.94,90.61,108.44,97.82,96.54,95.91,89.01,47.06,46.55,85.55,101.09,30.80,96.90
Nov-08,91.06,90.40,107.85,97.25,97.81,92.66,90.19,38.90,33.95,85.46,100.08,36.67,100.17
Dec-08,85.70,83.66,99.37,90.42,89.51,86.11,82.89,39.80,41.51,95.83,99.70,37.67,109.08
Jan-09,83.50,81.60,108.09,98.93,95.12,95.43,88.61,41.43,41.31,88.74,99.22,39.94,115.50
Feb-09,82.10,79.68,111.11,101.65,93.37,100.03,86.85,42.43,41.22,88.94,100.58,38.44,120.00
Mar-09,82.35,81.66,110.88,103.27,90.02,97.70,83.58,42.47,38.91,92.75,100.67,39.45,122.20
Apr-09,86.70,87.02,117.33,107.47,98.31,105.07,91.52,42.83,38.69,89.38,100.55,42.31,122.88
May-09,84.64,85.27,120.22,110.13,99.26,110.27,93.92,43.18,40.14,91.03,105.69,37.25,122.40
Jun-09,81.97,81.31,110.74,103.75,98.34,100.59,93.87,42.21,32.09,93.91,112.95,33.81,111.00
Jul-09,82.90,82.72,107.82,104.85,102.16,101.10,98.13,42.74,27.40,88.00,109.02,36.38,97.06
Aug-09,83.15,82.48,109.17,104.23,99.81,102.26,95.37,36.56,30.07,88.88,100.02,41.75,98.25
Sep-09,84.65,83.13,106.63,102.21,96.23,103.79,91.56,37.41,25.02,88.17,96.01,39.08,96.25
Oct-09,84.68,83.53,108.37,95.44,93.78,94.95,88.01,37.65,27.84,89.50,95.26,36.25,96.42
Nov-09,85.35,83.43,110.04,94.76,94.10,97.64,88.34,40.12,36.60,89.66,95.32,48.50,103.17
Dec-09,83.08,80.34,109.54,96.01,93.13,95.56,86.09,45.82,33.55,92.25,94.75,55.00,107.50
Jan-10,85.50,83.46,111.27,100.16,95.46,98.54,90.98,49.81,38.86,95.04,97.46,68.13,118.17
Feb-10,90.31,87.41,118.83,109.30,98.29,108.30,94.37,48.98,48.73,106.63,104.05,71.63,122.15
Mar-10,95.41,92.93,123.93,114.02,102.43,113.11,96.09,52.43,48.10,109.95,115.53,61.45,143.33
Apr-10,98.57,99.58,132.78,124.20,112.54,121.59,106.53,57.43,54.10,112.00,120.82,53.63,151.17
May-10,98.47,97.93,130.52,122.44,113.77,121.59,107.83,63.13,59.37,104.47,129.76,55.63,140.19
Jun-10,92.49,92.25,129.50,117.51,111.64,118.72,104.56,58.23,55.35,102.05,134.26,53.80,136.10
Jul-10,93.50,93.12,130.99,119.25,112.12,118.22,107.99,58.25,56.10,109.17,132.47,51.33,136.38
Aug-10,96.64,96.42,123.66,117.40,113.74,115.44,108.36,61.49,60.00,112.15,130.60,53.50,141.35
Sep-10,97.43,97.22,117.46,111.82,111.00,111.44,104.84,60.64,59.93,125.38,140.15,54.25,151.38
